Student_ID,Actual_Final_Score,Linear_Regression_Prediction,Decision_Tree_Prediction,Random_Forest_Prediction
STU0045,65.44,65.51,60.75,62.99
STU0248,53.44,51.02,47.28,50.4
STU0722,64.18,65.17,61.9,63.91
STU0282,65.25,65.53,62.58,64.88
STU0894,56.75,56.16,56.96,56.36
STU0915,60.88,64.66,60.92,60.44
STU0811,62.76,65.99,60.92,64.35
STU0245,42.55,44.33,47.28,46.99
STU0823,58.08,51.69,50.81,52.42
STU0322,67.51,64.15,61.66,61.94
STU0644,53.33,53.22,56.5,56.91
STU0159,63.15,63.54,57.86,61.08
STU0978,49.26,52.5,56.93,56.72
STU0430,54.17,55.78,59.93,53.14
STU0942,55.76,51.3,50.9,51.29
STU0463,66.78,65.54,65.11,63.19
STU0310,54.66,56.98,61.9,60.07
STU0698,73.39,72.17,65.11,68.67
STU0061,50.1,51.13,57.23,54.06
STU0885,57.61,64.76,57.06,63.09
STU0596,67.2,67.66,69.76,68.8
STU0768,59.8,56.81,59.31,58.91
STU0650,64.0,66.87,60.54,64.83
STU0651,56.91,55.17,56.93,57.2
STU0866,59.07,58.06,56.96,56.83
STU0669,55.33,50.31,47.28,50.42
STU0299,71.05,69.53,69.76,67.63
STU0690,61.61,55.44,56.5,55.78
STU0315,48.17,55.0,61.86,58.37
STU0311,67.52,58.43,61.66,59.02
STU0362,61.43,64.85,60.92,60.92
STU0480,60.31,58.95,62.22,60.15
STU0111,64.94,57.57,56.93,58.2
STU0990,61.08,60.68,56.5,57.62
STU0487,61.43,62.44,60.75,62.34
STU0364,56.88,55.32,57.23,54.83
STU0255,53.17,56.6,61.66,58.99
STU0260,61.71,63.93,60.75,63.65
STU0803,57.4,50.89,50.9,51.33
STU0678,51.52,51.69,49.79,51.11
STU0495,55.22,57.87,56.6,57.53
STU0671,66.99,62.3,66.26,63.75
STU0378,57.65,52.6,56.96,53.16
STU0527,71.8,67.45,66.61,67.49
STU0846,58.96,61.05,60.54,61.82
STU0138,54.13,58.72,56.93,57.78
STU0356,64.41,61.02,65.49,58.89
STU0366,61.79,57.42,61.9,59.68
STU0943,46.22,47.53,43.15,47.33
STU0750,54.52,51.73,56.6,52.9
STU0949,48.34,49.05,43.15,48.09
STU0830,55.69,59.92,60.54,62.17
STU0657,59.07,55.47,57.23,57.05
STU0200,51.11,49.64,45.26,51.79
STU0214,58.03,56.78,56.93,57.72
STU0409,52.33,60.39,61.66,59.68
STU0333,60.8,55.81,57.86,56.53
STU0209,57.86,63.62,65.11,64.6
STU0614,59.59,57.76,60.92,58.44
STU0079,57.03,54.76,57.23,55.23
