Student_ID,Gender,Age,Study_Hours,Attendance,Previous_Score,Assignment_Score,Midterm_Score,Internet_Access,Extracurricular_Activities,Final_Score
STU0024,Female,21,5.9,78.1,77.7,58.3,90.2,Yes,No,72.81
STU0025,Female,21,9.7,68.7,46.1,64.2,61.3,Yes,No,50.91
STU0026,Female,17,,64.6,55.9,80.4,85.6,Yes,No,57.15
STU0027,Female,22,6.7,56.5,57.0,80.9,47.4,Yes,No,46.58
STU0028,Female,17,9.4,68.7,53.7,58.9,91.4,No,Yes,61.19
STU0029,Female,18,1.9,84.4,68.3,48.0,81.3,Yes,Yes,62.48
STU0030,Female,17,9.4,97.2,69.5,77.9,91.8,Yes,Yes,68.76
STU0031,Male,19,7.2,94.2,59.6,47.7,77.2,Yes,No,61.53
STU0032,Male,21,1.6,89.5,59.5,74.7,60.0,Yes,Yes,52.78
STU0033,Female,18,3.7,90.5,85.6,81.6,91.6,Yes,Yes,73.18
STU0034,Female,17,7.4,84.9,83.4,82.0,55.2,Yes,Yes,65.78
STU0035,Female,22,1.6,66.7,56.9,85.2,58.3,Yes,Yes,59.6
STU0036,Male,19,6.2,95.8,90.3,92.4,78.5,Yes,No,71.63
STU0037,Female,19,4.1,85.2,92.4,70.0,82.1,Yes,Yes,65.03
STU0038,Male,17,6.6,80.2,58.0,83.8,91.1,No,No,60.99
STU0039,Male,21,1.4,60.0,59.5,77.2,51.3,Yes,No,45.49
STU0040,Male,17,8.8,75.1,67.8,51.2,83.9,Yes,Yes,64.19
STU0041,Male,18,9.8,75.7,91.8,41.5,80.6,Yes,No,69.13
STU0042,Male,17,9.7,93.9,88.2,57.1,43.5,Yes,No,62.84
STU0043,Female,19,7.7,79.6,45.6,66.6,61.3,Yes,No,56.82
STU0044,Female,17,2.2,72.1,61.6,77.0,55.6,Yes,No,54.8
STU0045,Female,21,7.8,99.0,70.4,91.0,56.7,Yes,No,65.44
STU0046,Female,22,1.2,60.0,67.7,51.8,94.1,Yes,No,55.77
STU0047,Female,20,1.2,74.0,50.7,47.5,75.4,No,No,50.29
STU0048,Male,17,3.9,56.9,87.2,97.8,79.5,Yes,Yes,60.17
STU0049,Female,21,5.4,88.3,77.2,46.5,93.7,Yes,Yes,66.34
STU0050,Female,21,7.9,96.3,86.1,68.7,60.7,No,No,66.44
STU0051,Male,22,7.1,67.6,87.2,75.1,84.1,,No,68.64
STU0052,Female,19,5.0,93.6,81.2,72.5,63.9,Yes,Yes,65.77
STU0053,Male,21,3.5,68.1,64.2,45.2,87.8,Yes,Yes,55.43
STU0054,Female,21,10.0,96.0,73.6,43.4,49.9,Yes,Yes,54.76
STU0055,Male,21,4.8,88.9,48.8,46.3,92.1,Yes,Yes,58.24
STU0056,Female,21,5.1,91.2,77.1,75.1,52.0,Yes,No,64.51
STU0057,Female,18,2.5,55.8,49.9,72.7,57.9,Yes,No,43.68
STU0058,Male,18,8.2,98.3,78.2,54.0,81.6,Yes,Yes,67.38
STU0059,Male,19,7.2,87.7,52.6,78.3,61.7,Yes,Yes,58.64
STU0060,Male,17,3.0,68.7,46.5,89.2,73.5,Yes,Yes,52.85
STU0061,Male,21,1.7,92.3,49.1,42.5,64.5,Yes,Yes,50.1
STU0062,Male,22,7.1,67.7,40.1,69.9,80.8,Yes,No,53.65
STU0063,Male,17,6.9,94.3,79.5,81.4,52.6,Yes,Yes,60.63
STU0064,Male,22,3.5,60.1,80.3,55.1,43.2,Yes,Yes,52.06
STU0065,Male,17,9.6,86.7,68.3,58.5,56.5,Yes,Yes,54.82
STU0066,Female,19,2.4,79.3,48.9,76.8,66.1,Yes,No,58.56
STU0067,Female,21,4.9,59.3,44.6,93.9,49.2,Yes,No,57.19
STU0068,Male,21,9.5,65.9,41.1,88.6,59.5,Yes,No,48.66
STU0069,Female,20,4.8,55.6,49.1,75.0,62.0,Yes,Yes,50.89
STU0070,Female,22,6.7,76.1,89.0,83.8,43.2,Yes,Yes,58.86
STU0071,Female,17,4.6,68.6,53.3,61.9,72.1,Yes,Yes,56.59
STU0072,Female,17,3.5,81.9,59.5,78.5,88.6,No,No,58.59
STU0073,Male,18,9.9,68.4,45.8,68.0,48.3,Yes,No,49.82
STU0074,Female,20,4.7,68.5,52.2,51.4,72.9,Yes,Yes,48.2
STU0075,Male,18,9.0,88.4,68.6,82.1,76.6,Yes,Yes,65.13
STU0076,Female,18,3.1,57.2,73.4,73.4,63.1,No,No,51.51
STU0077,Female,18,2.9,95.6,53.5,61.5,78.6,Yes,Yes,62.75
STU0078,Female,22,1.3,93.4,43.2,94.7,62.6,Yes,Yes,55.38
STU0079,Male,22,6.9,85.1,61.5,41.3,67.8,Yes,Yes,57.03
STU0080,Female,19,4.3,81.7,52.9,58.9,40.4,Yes,No,47.68
STU0081,Male,19,8.8,95.2,52.1,43.4,78.0,Yes,Yes,57.26
STU0082,Female,18,5.3,63.3,92.8,86.0,76.4,Yes,Yes,66.78
STU0083,Male,20,9.7,58.6,73.9,82.1,42.1,Yes,Yes,51.18
STU0084,Female,17,2.7,65.8,70.6,59.9,60.3,Yes,Yes,54.39
STU0085,Male,22,8.8,90.8,62.9,80.5,93.8,No,No,73.48
STU0086,Male,20,8.0,56.6,63.6,63.8,63.1,Yes,No,49.26
STU0087,Female,21,7.9,81.2,69.7,85.4,67.6,Yes,No,67.14
STU0088,Male,22,8.6,99.8,78.3,67.3,90.0,Yes,Yes,76.42
STU0089,Female,22,7.8,93.5,78.6,64.7,79.4,Yes,No,64.35
STU0090,Female,19,6.6,78.5,49.4,96.1,72.0,Yes,Yes,54.53
STU0091,Female,17,2.2,57.9,67.5,55.1,83.9,Yes,No,56.11
STU0092,Female,17,1.3,92.4,62.7,47.2,87.5,Yes,Yes,58.9
STU0093,Female,21,9.3,82.0,87.9,75.1,65.1,Yes,No,72.51
STU0094,Female,21,6.5,60.2,74.7,98.2,66.1,Yes,No,61.16
STU0095,Female,22,8.2,59.2,69.3,62.7,61.2,Yes,No,50.66
STU0096,Female,18,5.3,95.9,46.3,43.7,93.2,Yes,Yes,54.81
STU0097,Female,19,2.1,85.1,73.3,60.4,78.3,Yes,Yes,65.96
STU0098,Female,19,2.1,92.3,46.4,70.4,44.6,Yes,Yes,49.76
STU0099,Female,22,7.2,94.6,58.5,49.7,87.5,Yes,No,61.84
STU0100,Male,20,4.9,80.7,47.9,79.5,66.4,Yes,Yes,59.16
STU0101,Male,18,,78.3,78.1,99.9,43.8,Yes,Yes,59.31
STU0102,Female,22,5.4,74.4,51.3,67.1,70.2,Yes,Yes,54.11
STU0103,Female,18,1.6,69.3,61.6,61.3,62.9,Yes,Yes,52.65
STU0104,Female,18,6.2,74.6,89.3,64.0,88.3,Yes,Yes,69.5
STU0105,Female,18,3.4,89.8,51.2,46.9,51.2,Yes,Yes,52.51
STU0106,Female,22,8.2,82.1,67.9,93.0,85.5,Yes,No,66.79
STU0107,Female,19,3.8,95.2,63.1,64.9,70.7,Yes,No,61.5
STU0108,Female,19,5.1,75.0,41.0,63.2,43.0,No,Yes,44.45
STU0109,Female,18,1.1,82.3,83.6,79.6,93.5,Yes,No,64.67
STU0110,Male,20,1.7,83.4,43.8,66.5,68.2,Yes,No,54.12
STU0111,Female,17,4.5,81.6,66.1,78.9,56.0,No,Yes,64.94
STU0112,Male,22,5.3,86.6,70.8,43.7,65.8,Yes,Yes,54.33
STU0113,Female,17,6.4,65.7,74.6,88.8,87.2,Yes,No,62.31
STU0114,Female,20,3.6,78.1,77.9,96.4,56.8,Yes,Yes,60.08
STU0115,Male,22,7.3,59.7,53.9,78.9,50.6,Yes,No,52.41
STU0116,Female,18,8.7,72.3,40.5,97.3,47.1,No,No,53.18
STU0117,Male,19,8.0,76.9,79.8,49.1,56.4,Yes,No,56.4
STU0118,Female,17,1.4,84.4,69.5,68.6,82.9,Yes,Yes,59.85
STU0119,Female,21,5.3,97.8,86.0,76.1,65.9,Yes,No,68.89
STU0120,Male,21,1.9,82.0,85.2,74.9,52.5,Yes,Yes,55.94
STU0121,Female,20,3.2,88.5,86.4,64.1,49.1,Yes,Yes,61.58
STU0122,Male,18,9.9,77.8,66.7,60.3,58.3,Yes,Yes,59.33
STU0123,Female,17,2.3,83.5,58.3,47.6,91.7,Yes,Yes,54.46
STU0124,Male,18,5.5,58.2,83.5,63.5,58.9,Yes,Yes,50.61
STU0125,Male,17,6.6,66.4,64.8,49.8,94.3,Yes,No,63.85
STU0126,Female,20,7.3,71.3,50.1,84.1,66.7,Yes,Yes,53.34
STU0127,Female,20,6.0,76.3,87.0,52.5,49.9,Yes,Yes,61.45
STU0128,Male,21,1.1,57.1,88.5,43.5,89.0,Yes,Yes,58.67
STU0129,Female,18,3.9,61.3,65.6,73.1,65.3,Yes,Yes,54.05
STU0130,Female,22,5.7,67.5,44.2,75.7,79.0,Yes,Yes,55.62
STU0131,Female,21,1.8,98.7,61.3,92.3,94.1,Yes,No,66.93
STU0132,Male,18,4.2,69.9,84.2,74.6,42.8,Yes,Yes,57.4
STU0133,Male,21,1.3,76.7,89.6,60.7,45.3,No,Yes,56.34
STU0134,Male,22,1.7,63.8,51.2,88.2,79.6,Yes,No,51.67
STU0135,Male,19,4.6,82.5,43.7,72.4,55.5,Yes,Yes,53.04
STU0136,Male,19,2.2,67.6,88.3,44.8,50.1,Yes,No,53.16
STU0137,Male,19,6.1,64.3,61.4,74.0,42.2,No,No,49.58
STU0138,Male,19,7.2,78.2,69.8,94.5,41.2,Yes,No,54.13
STU0139,Male,17,8.2,55.2,93.2,63.8,82.6,Yes,No,68.58
STU0140,Male,19,2.8,55.3,43.7,57.8,47.4,Yes,Yes,44.81
STU0141,Female,22,2.5,64.9,75.7,48.6,65.7,Yes,Yes,57.46
STU0142,Male,20,1.9,56.7,44.1,49.1,73.3,Yes,No,44.8
STU0143,Female,20,6.7,59.9,60.7,66.0,63.6,Yes,No,46.13
STU0144,Female,17,7.4,70.2,84.2,75.7,41.5,Yes,Yes,64.32
STU0145,Female,19,1.3,91.1,63.8,44.8,83.1,Yes,No,59.35
STU0146,Male,19,9.4,80.7,94.8,96.4,40.6,Yes,No,63.11
STU0147,Male,19,1.5,78.1,70.7,85.3,81.9,Yes,No,65.76
STU0148,Male,21,5.9,68.2,57.7,75.2,89.1,Yes,Yes,63.68
STU0149,Male,18,7.4,96.9,52.1,89.7,63.8,Yes,No,61.81
STU0150,Female,21,8.8,72.9,59.3,44.8,69.5,Yes,Yes,57.54
STU0151,Male,18,7.4,58.9,60.5,68.6,66.2,Yes,Yes,56.74
STU0152,Male,19,8.2,82.8,43.8,77.8,61.4,Yes,Yes,50.82
STU0153,Male,19,4.1,60.1,60.3,89.7,88.8,Yes,No,57.89
STU0154,Male,21,8.3,70.5,65.5,87.0,89.2,Yes,No,67.62
STU0155,Male,21,1.7,77.8,79.8,56.6,58.5,Yes,Yes,48.07
STU0156,Female,18,9.1,94.3,76.1,96.5,73.8,Yes,Yes,70.12
STU0157,Male,20,5.9,77.2,79.0,47.5,91.0,Yes,Yes,58.11
STU0158,Female,18,8.4,86.6,40.5,92.5,92.9,Yes,No,61.48
STU0159,Male,21,5.1,99.7,52.0,98.3,68.0,Yes,No,63.15
STU0160,Female,22,6.8,60.9,76.4,50.6,64.9,No,Yes,53.04
STU0161,Male,21,5.7,67.4,66.6,83.3,55.3,Yes,Yes,54.13
STU0162,Male,22,7.6,72.8,40.3,42.4,92.7,Yes,No,48.52
STU0163,Female,17,1.7,74.0,84.2,64.3,47.9,Yes,Yes,64.88
STU0164,Female,21,1.5,73.5,82.5,71.0,71.9,Yes,No,68.63
STU0165,Female,17,3.2,95.8,70.2,74.8,55.5,Yes,No,57.45
STU0166,Male,20,2.4,87.1,43.7,96.2,55.3,Yes,Yes,61.55
STU0167,Female,18,8.8,82.4,82.2,80.3,62.3,Yes,Yes,63.37
STU0168,Male,22,3.0,68.9,72.1,68.9,94.9,Yes,No,63.49
STU0169,Male,18,9.8,92.1,83.0,88.6,43.0,Yes,No,64.44
STU0170,Female,17,4.0,98.0,81.3,97.0,71.8,Yes,No,69.21
STU0171,Female,22,2.6,92.0,84.2,41.3,44.5,No,No,60.3
STU0172,Male,18,8.1,55.1,68.5,99.0,48.5,Yes,No,55.7
STU0173,Male,21,6.9,83.6,47.7,45.2,64.2,Yes,Yes,49.51
STU0174,Female,19,5.5,57.3,76.9,88.9,68.1,Yes,No,55.21
STU0175,Female,17,6.0,66.6,74.1,56.8,54.2,Yes,No,50.49
STU0176,Female,18,7.5,57.7,80.8,47.9,57.4,Yes,No,47.16
STU0177,Male,17,3.1,82.2,49.3,66.4,44.8,Yes,Yes,49.93
STU0178,Male,17,10.0,85.9,50.7,78.6,56.7,Yes,Yes,52.31
STU0179,Male,22,9.8,60.2,89.0,62.9,93.2,Yes,No,64.4
STU0180,Male,22,6.9,72.3,81.2,43.3,92.0,Yes,No,67.14
STU0181,Male,19,2.8,75.5,90.0,76.0,58.4,Yes,Yes,66.89
STU0182,Male,21,7.1,71.6,81.7,94.1,71.4,Yes,Yes,65.74
STU0183,Female,17,1.6,60.4,72.8,63.0,90.0,Yes,Yes,58.92
STU0184,Male,18,1.3,73.9,76.0,53.0,40.3,Yes,Yes,58.08
STU0185,Male,20,3.3,88.8,88.9,66.6,84.6,Yes,No,71.09
STU0186,Male,17,5.2,58.2,71.8,42.9,92.2,Yes,Yes,55.42
STU0187,Female,17,8.8,58.6,74.8,89.2,45.0,Yes,No,50.56
STU0188,Male,19,7.5,71.0,48.6,89.6,48.9,Yes,No,53.72
STU0189,Male,21,7.7,97.4,66.1,75.3,92.8,Yes,Yes,72.1
STU0190,Female,20,4.8,85.1,79.4,61.2,69.6,Yes,Yes,60.33
STU0191,Male,22,4.1,85.5,54.9,88.0,40.8,Yes,Yes,55.65
STU0192,Male,22,4.3,71.3,51.1,73.3,54.2,No,Yes,49.8
STU0193,Male,18,9.9,81.7,57.3,89.6,64.7,Yes,No,59.82
STU0194,Male,20,1.4,55.5,53.3,77.9,78.1,Yes,No,44.38
STU0195,Male,22,8.8,83.6,51.8,87.1,80.3,Yes,No,61.27
STU0196,Female,18,6.2,96.1,63.4,75.9,94.7,Yes,Yes,71.83
STU0197,Female,21,4.9,82.6,89.9,64.8,55.8,Yes,No,60.2
STU0198,Female,18,7.5,94.3,67.9,97.5,69.6,Yes,Yes,67.8
STU0199,Male,22,5.4,87.6,50.3,72.5,69.3,No,No,54.91
STU0200,Male,19,8.9,60.4,44.2,76.3,62.3,No,Yes,51.11
STU0201,Male,19,9.1,95.6,78.3,53.2,49.3,Yes,No,59.33
STU0202,Female,19,4.8,58.0,61.1,77.5,93.8,Yes,No,56.0
STU0203,Male,22,3.5,79.0,85.2,74.3,86.9,No,Yes,72.5
STU0204,Male,19,6.3,61.4,76.3,51.1,67.4,Yes,No,58.11
STU0205,Female,20,9.2,55.5,83.8,43.6,73.2,Yes,No,53.88
STU0206,Male,21,2.9,74.0,55.0,76.3,52.5,Yes,Yes,54.24
STU0207,Female,18,6.6,68.3,78.1,85.8,69.9,Yes,Yes,64.47
STU0208,Female,18,6.7,76.9,54.5,71.4,78.2,Yes,Yes,60.35
STU0209,Female,22,7.6,81.0,91.6,53.6,68.3,Yes,Yes,57.86
STU0210,Male,19,2.2,57.0,75.0,80.0,94.5,Yes,Yes,66.11
STU0211,Male,19,7.4,60.5,57.8,44.8,73.6,Yes,No,48.54
STU0212,Male,17,9.2,80.1,54.8,66.5,60.4,Yes,Yes,53.78
STU0213,Male,21,2.6,70.4,50.5,49.8,82.5,Yes,No,61.78
STU0214,Male,20,3.1,87.8,78.2,51.1,49.4,Yes,No,58.03
STU0215,Male,18,9.7,84.4,52.0,52.1,61.1,Yes,Yes,52.0
STU0216,Male,17,2.6,93.1,72.7,63.2,59.1,Yes,No,52.71
STU0217,Female,17,8.7,86.2,54.6,43.1,63.7,No,No,58.25
STU0218,Male,22,5.4,74.3,76.4,63.9,83.0,No,Yes,57.89
STU0219,Female,18,3.2,85.3,84.8,70.7,66.6,Yes,No,60.95
STU0220,Male,22,8.8,67.4,82.8,69.0,83.7,Yes,Yes,63.04
STU0221,Male,20,5.0,68.8,81.8,63.0,71.7,Yes,Yes,65.23
STU0222,Male,17,5.6,90.5,50.3,90.3,58.8,Yes,Yes,61.5
STU0223,Female,17,4.2,75.1,44.9,48.7,84.5,No,No,52.16
STU0224,Female,21,6.3,90.9,78.4,70.3,53.1,Yes,No,62.98
STU0225,Female,20,2.5,92.0,60.3,43.7,52.3,Yes,No,50.68
STU0226,Female,17,4.5,93.6,63.8,44.3,67.7,Yes,No,58.03
STU0227,Male,20,9.7,96.2,41.7,74.4,54.3,Yes,Yes,55.61
STU0228,Female,18,3.3,74.4,54.3,74.0,40.5,Yes,No,53.13
STU0229,Male,19,6.9,69.3,41.9,92.7,75.7,Yes,Yes,59.39
STU0230,Male,17,3.9,81.2,88.4,73.5,68.1,Yes,No,67.04
STU0231,Female,21,8.0,71.7,53.4,97.6,64.5,Yes,No,56.84
STU0232,Female,18,2.2,82.0,70.7,42.9,93.2,Yes,No,63.78
STU0233,Female,20,9.7,86.8,42.1,45.9,71.4,Yes,No,52.21
STU0234,Female,22,5.1,86.0,76.7,42.6,87.5,Yes,No,59.12
STU0235,Female,18,3.1,71.9,57.8,51.1,47.7,Yes,Yes,46.62
STU0236,Female,17,1.7,62.5,89.4,72.5,71.3,Yes,No,61.84
STU0237,Female,20,2.5,74.4,88.8,78.7,87.7,Yes,No,71.55
STU0238,Female,19,5.7,61.4,57.9,42.7,72.1,Yes,No,49.19
STU0239,Male,18,4.0,95.1,89.6,96.8,79.5,No,No,70.23
STU0240,Female,17,8.5,70.6,94.8,90.5,60.5,Yes,Yes,66.64
STU0241,Female,21,4.9,62.0,85.4,57.8,45.1,Yes,No,53.96
STU0242,Male,22,3.2,56.1,86.5,44.6,65.2,Yes,Yes,54.92
STU0243,Female,20,6.6,84.1,53.7,50.2,61.7,Yes,No,56.2
STU0244,Male,18,7.4,83.7,71.7,47.6,87.7,Yes,Yes,65.92
STU0245,Male,18,2.5,70.3,43.7,47.4,53.4,Yes,Yes,42.55
STU0246,Female,19,2.5,58.2,45.2,71.1,93.2,Yes,Yes,51.7
STU0247,Male,19,1.3,73.4,94.9,54.8,92.7,Yes,Yes,63.23
STU0248,Male,21,7.6,69.0,58.0,61.5,53.6,Yes,Yes,53.44
STU0249,Male,22,7.0,85.5,81.2,99.4,59.1,Yes,No,72.17
STU0250,Male,21,5.3,82.3,84.4,81.1,89.3,Yes,Yes,69.08
STU0251,Female,17,,71.4,87.2,96.9,93.2,Yes,No,71.39
STU0252,Male,17,8.3,64.8,94.9,48.6,64.4,Yes,Yes,64.78
STU0253,Female,21,6.3,99.5,53.3,62.9,57.7,Yes,Yes,59.09
STU0254,Male,22,8.8,75.4,42.2,73.3,68.9,No,No,55.02
STU0255,Male,21,2.9,86.0,62.6,44.6,77.8,Yes,Yes,53.17
STU0256,Male,22,2.0,61.3,47.2,40.3,55.0,Yes,Yes,45.07
STU0257,Male,22,3.4,76.9,41.2,80.2,80.5,Yes,Yes,52.71
STU0258,Female,20,1.5,56.2,59.8,78.5,42.8,Yes,Yes,43.95
STU0259,Female,22,5.8,77.7,83.1,64.6,42.7,Yes,No,55.93
STU0260,Male,19,9.4,98.4,71.1,69.4,61.2,Yes,Yes,61.71
STU0261,Male,22,1.4,72.3,57.2,64.9,59.4,Yes,Yes,51.3
STU0262,Female,22,2.1,56.8,76.0,41.4,57.4,No,No,44.52
STU0263,Male,22,5.1,56.4,52.8,60.1,67.0,Yes,No,52.3
STU0264,Male,17,9.4,72.5,40.8,50.6,57.6,Yes,Yes,50.9
STU0265,Male,19,3.8,62.2,82.0,45.9,50.6,No,Yes,45.06
STU0266,Female,19,5.6,56.1,74.3,97.4,57.0,Yes,No,61.36
STU0267,Female,21,1.4,89.0,81.9,76.0,93.6,Yes,Yes,67.59
STU0268,Female,20,2.3,75.6,42.1,83.7,62.6,Yes,No,55.65
STU0269,Male,22,9.9,68.0,86.0,58.9,64.5,Yes,Yes,59.74
STU0270,Male,18,9.7,95.5,74.1,63.6,71.7,Yes,No,65.26
STU0271,Female,20,1.0,60.2,71.0,54.2,94.1,No,No,57.48
STU0272,Female,20,9.6,98.0,74.4,45.8,53.3,Yes,No,63.66
STU0273,Female,19,6.8,69.1,87.5,50.7,77.5,Yes,Yes,57.07
STU0274,Female,20,8.8,95.0,72.3,87.9,79.4,Yes,Yes,71.75
STU0275,Male,22,5.1,82.1,72.0,80.7,73.4,Yes,Yes,67.62
STU0276,Female,22,5.6,92.2,94.5,72.8,44.9,No,Yes,67.32
STU0277,Male,17,5.4,99.3,81.6,68.5,77.2,Yes,No,77.07
STU0278,Female,22,7.0,68.0,64.3,95.3,43.5,Yes,No,53.44
STU0279,Male,22,2.3,98.3,78.9,44.4,72.8,Yes,No,66.34
STU0280,Female,19,1.3,72.5,61.4,56.8,80.7,Yes,Yes,55.82
STU0281,Female,22,3.8,72.3,52.6,61.0,51.6,Yes,Yes,53.53
STU0282,Female,17,7.3,70.3,72.8,86.9,86.3,Yes,Yes,65.25
STU0283,Female,18,2.8,79.4,91.1,99.6,41.7,Yes,No,62.67
STU0284,Male,19,7.1,61.9,91.1,54.4,86.4,Yes,Yes,67.68
STU0285,Female,18,9.7,79.9,58.8,92.5,65.3,Yes,Yes,59.24
STU0286,Male,19,1.8,79.4,69.0,89.8,52.0,Yes,No,53.97
STU0287,Male,21,7.1,89.3,51.6,53.5,47.4,Yes,No,49.52
STU0288,Male,20,5.0,92.5,94.8,64.0,92.4,Yes,Yes,75.2
STU0289,Male,21,8.8,74.8,94.0,64.6,44.0,Yes,No,64.9
STU0290,Female,22,2.6,68.6,75.7,98.7,51.0,Yes,Yes,59.88
STU0291,Male,18,7.2,66.7,84.2,50.9,59.1,No,No,61.09
STU0292,Male,22,8.5,63.8,79.3,87.9,74.1,Yes,No,58.64
STU0293,Male,20,9.5,57.6,72.6,60.1,70.0,Yes,No,54.0
STU0294,Female,19,7.1,70.4,42.9,83.9,46.9,Yes,Yes,48.45
STU0295,Female,20,5.5,67.2,65.0,65.2,55.9,Yes,Yes,52.58
STU0296,Female,17,6.6,98.5,77.1,74.7,53.1,No,Yes,64.25
STU0297,Female,20,8.8,80.1,77.3,90.0,51.7,Yes,No,64.79
STU0298,Male,17,6.1,70.6,60.5,88.2,62.6,Yes,No,55.95
STU0299,Male,20,1.3,81.1,91.8,92.0,78.7,No,No,71.05
STU0300,Female,17,9.4,61.3,49.2,43.6,52.0,Yes,No,44.26
STU0301,Male,18,7.2,75.0,67.5,81.5,60.2,Yes,Yes,55.7
STU0302,Male,22,7.1,83.2,78.0,48.4,61.5,Yes,Yes,58.24
STU0303,Male,22,2.9,77.0,78.3,64.9,93.7,Yes,Yes,65.01
STU0304,Female,21,6.9,73.1,75.7,72.9,92.5,Yes,No,65.11
STU0305,Female,22,4.5,99.7,55.1,64.2,84.0,Yes,No,63.06
STU0306,Male,19,6.9,94.6,48.6,71.2,53.3,Yes,Yes,55.81
STU0307,Female,20,2.0,83.1,75.0,99.8,43.7,No,No,59.59
STU0308,Female,21,6.9,80.6,73.0,48.1,57.4,Yes,Yes,60.37
STU0309,Female,19,10.0,82.9,49.9,80.5,54.7,Yes,No,51.43
STU0310,Female,19,1.4,64.1,78.8,63.8,67.8,Yes,No,54.66
STU0311,Female,17,9.8,72.8,65.0,48.0,82.8,Yes,Yes,67.52
STU0312,Male,22,4.7,56.8,76.7,49.5,87.2,Yes,Yes,53.75
STU0313,Female,18,8.8,76.4,86.1,97.0,86.5,No,No,67.03
STU0314,Male,18,8.0,79.4,49.3,92.8,59.8,Yes,Yes,59.68
STU0315,Male,21,6.1,65.2,41.1,94.4,77.8,Yes,Yes,48.17
STU0316,Female,18,7.6,98.4,82.9,99.5,57.2,Yes,No,69.28
STU0317,Male,20,8.9,95.9,73.5,52.5,43.3,Yes,No,65.12
STU0318,Male,18,4.6,87.5,78.5,61.3,78.6,No,No,59.21
STU0319,Male,21,3.9,79.0,86.1,80.2,40.5,Yes,Yes,52.8
STU0320,Female,18,7.0,94.1,84.2,69.0,62.5,No,No,60.61
STU0321,Female,20,8.3,60.9,92.9,65.1,58.1,Yes,No,62.65
STU0322,Male,17,7.9,90.6,69.5,61.5,78.1,Yes,No,67.51
STU0323,Female,21,8.2,60.6,66.9,75.6,82.1,Yes,No,57.5
STU0324,Female,17,4.9,90.7,62.1,74.5,56.7,Yes,No,61.27
STU0325,Female,17,8.4,67.4,48.5,49.7,84.6,Yes,Yes,57.71
STU0326,Female,17,2.1,94.5,71.5,68.3,56.2,Yes,No,66.78
STU0327,Male,19,5.9,97.5,55.2,73.2,64.5,Yes,No,59.33
STU0328,Male,22,1.1,61.7,90.7,74.2,80.0,Yes,Yes,55.52
STU0329,Female,19,3.9,75.8,72.1,52.6,78.1,Yes,No,56.04
STU0330,Female,22,4.3,99.1,72.6,84.5,94.3,Yes,No,70.77
STU0331,Male,17,4.6,76.8,59.5,41.5,52.4,No,Yes,48.4
STU0332,Male,21,7.3,93.9,42.9,61.3,76.4,Yes,No,56.51
STU0333,Female,22,4.5,81.5,41.7,86.8,73.5,Yes,Yes,60.8
STU0334,Male,20,5.0,71.9,63.3,73.8,90.3,Yes,No,66.13
STU0335,Female,20,3.1,67.9,44.7,55.7,48.6,Yes,Yes,44.15
STU0336,Female,18,4.4,64.1,73.4,81.7,81.3,Yes,Yes,65.6
STU0337,Male,22,3.0,89.3,88.5,74.0,71.3,Yes,No,68.92
STU0338,Male,21,1.7,72.4,88.6,87.8,55.1,Yes,Yes,62.8
STU0339,Female,19,6.4,78.0,76.2,84.1,66.1,No,Yes,66.37
STU0340,Female,17,7.0,77.2,51.6,76.6,58.4,Yes,No,54.57
